,PLANT  or CUSTOMER,AGGREGATE SOURCE,# PICKED UP,# MISSED,AGG MATERIAL,QTY,AGG CARRIER,MG,SPECIAL NOTES
115,MAINLINE RMC                                               MC LOC307,CORKSCREW,,,#57,,,,DELIVERY TIME:  6:00 AM - 3:00 PM
116,CORKSCREW ,,,COMMERCIAL SCREENINGS,,,,,
117,PENNSUCO TERMINAL,,,#89,,,,,
118,PENNSUCO TERMINAL,,,#57,,,,,
119,CORKSCREW ,,,#89,2,,Y,,
120,VULCAN FT MYERS,,,#57,6,,Y,,
121,VULCAN FT MYERS,,,COMMERCIAL SCREENINGS,,,,,
122,VULCAN FT MYERS,,,#89,,,,,
123,PENNSUCO TERMINAL,,,COMMERCIAL SCREENINGS,,,,,
124,STEWART MINING,,,COMMERCIAL SAND ,6,,Y,,
125,,,,,,,,,
126,,,,,,,,,
127,NAPLES RMC                                                    MC LOC312,CORKSCREW ,,,COMMERCIAL SCREENINGS,,,,DELIVERY TIME:  6:00 AM - 4:00 PM
128,CORKSCREW ,,,#57,,,,,
129,CORKSCREW ,,,#89,,,,,
130,PENNSUCO TERMINAL,,,COMMERCIAL SCREENINGS,,,,,
131,PENNSUCO TERMINAL,,,#57,,,,,
132,PENNSUCO TERMINAL,,,#89,6,"OLYMPIAN 2, SERVISAN 4",Y,,
133,VULCAN FT MYERS,,,COMMERCIAL SCREENINGS,15,,,,
134,VULCAN FT MYERS,,,#57,10,,Y,,
135,VULCAN FT MYERS,,,#89,,,,,
136,STEWART MINING,,,,,,,,
137,,,,,,,,,
138,,,,,,,,,
139,PUNTA GORDA RMC                                     MC LOC301,CORKSCREW ,,,COMMERCIAL SCREENINGS,,,,DELIVERY TIME:  6:00 AM - 3:00 PM
140,CORKSCREW ,,,#57,,,,,
141,CORKSCREW ,,,#89,,,,,
142,PENNSUCO TERMINAL,,,COMMERCIAL SCREENINGS,,,,,
143,PENNSUCO TERMINAL,,,#57,,,,,
144,PENNSUCO TERMINAL,,,#89,3,"SERVISAN 2, OLYMPIAN 3",Y,,
145,VULCAN FT MYERS,,,COMMERCIAL SCREENINGS,,,,,
146,VULCAN FT MYERS,,,#57,7,,Y,,
147,VULCAN FT MYERS,,,#89,,,,,
148,JAHNA ORTONA,,,COMMERCIAL SAND ,8,,Y,,
149,,,,,,,,,
150,,,,,,,,,
151,VENICE RMC                                                 MC LOC305,CORKSCREW ,,,COMMERCIAL SCREENINGS,,,,DELIVERY TIME:  6:00 AM - 3:00 PM
152,CORKSCREW ,,,#57,,,,,
153,CORKSCREW ,,,#89,,,,,
154,PENNSUCO TERMINAL,,,COMMERCIAL SCREENINGS,,,,,
155,PENNSUCO TERMINAL,,,#57,,,,,
156,PENNSUCO TERMINAL,,,#89,,,,,
157,VULCAN FT MYERS,,,COMMERCIAL SCREENINGS,14,,,,
158,VULCAN FT MYERS,,,#57,8,,Y,,
159,VULCAN FT MYERS,,,#89,4,,Y,,
160,STEWART MINING,,,COMMERCIAL SAND ,,,,,
161,,,,,,,,,
162,,,,,,,,,
